EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
709521,LUBBOCK CO.,LUBBOCK,08/22/2017,1800,Thunderstorm Wind,52.00, ,0,0,500,0,TX,CST-6,EG,118032,C,303,LUB,0,0,Social Media, , , ,2,W,2,W,LUBBOCK,08/22/2017,1800,33.58,-101.88,33.58,-101.88,"An outdoor metal canopy was damaged from high winds during the passage of a gust front.","Numerous slow-moving thunderstorms erupted this afternoon in the southern Texas Panhandle along a weak cold front, before spreading south through the South Plains and Rolling Plains throughout the evening. Some of these storms redeveloped over the same areas, most notably in central Swisher County where Tulia and the nearby Middle Tule Creek experienced flash flooding from over four inches of rain in less than one hour. In Hockley County, a favorable merger of outflow boundaries supported a rotating thunderstorm that produced a swath of damaging winds and flash flooding. In addition to damaging several power poles and a Texas Tech University West Texas Mesonet, this storm produced incredible rainfall rates measured as great as 0.69 inches in 5 minutes, or 8.28 inches per hour.",11
709522,HOCKLEY CO.,LOCKETTVILLE,08/22/2017,1814,Flash Flood, , ,0,0,0,0,TX,CST-6, ,118032,C,219,LUB,0,0,Law Enforcement,Heavy Rain, , ,5,W,1,SW,ROPESVILLE MCNABB AR,08/22/2017,1845,33.39,-102.4,33.39,-102.08,"Law enforcement reported water and mud overflowing sections of roads in southeast Hockley County. The flash flooding forced the closure of FM Road 1585, FM Road 168 and County Road 41 for a few hours.  One section of FM Road 1585 had water up to the headlights of a car.  Travel was still impeded the following day until mud could be plowed free from the road.","Numerous slow-moving thunderstorms erupted this afternoon in the southern Texas Panhandle along a weak cold front, before spreading south through the South Plains and Rolling Plains throughout the evening. Some of these storms redeveloped over the same areas, most notably in central Swisher County where Tulia and the nearby Middle Tule Creek experienced flash flooding from over four inches of rain in less than one hour. In Hockley County, a favorable merger of outflow boundaries supported a rotating thunderstorm that produced a swath of damaging winds and flash flooding. In addition to damaging several power poles and a Texas Tech University West Texas Mesonet, this storm produced incredible rainfall rates measured as great as 0.69 inches in 5 minutes, or 8.28 inches per hour.",12
709523,LYNN CO.,TAHOKA,08/22/2017,1827,Thunderstorm Wind,54.00, ,0,0,0,0,TX,CST-6,MG,118032,C,305,LUB,0,0,Mesonet, , , ,2,N,2,N,TAHOKA,08/22/2017,1834,33.21,-101.78,33.21,-101.78,"Measured by a Texas Tech University West Texas mesonet near Tahoka at 1828 CST.  Severe gusts of 58 mph and 59 mph were also measured at 1827 CST and 1834 CST, respectively.","Numerous slow-moving thunderstorms erupted this afternoon in the southern Texas Panhandle along a weak cold front, before spreading south through the South Plains and Rolling Plains throughout the evening. Some of these storms redeveloped over the same areas, most notably in central Swisher County where Tulia and the nearby Middle Tule Creek experienced flash flooding from over four inches of rain in less than one hour. In Hockley County, a favorable merger of outflow boundaries supported a rotating thunderstorm that produced a swath of damaging winds and flash flooding. In addition to damaging several power poles and a Texas Tech University West Texas Mesonet, this storm produced incredible rainfall rates measured as great as 0.69 inches in 5 minutes, or 8.28 inches per hour.",13
718436,MIDLAND CO.,(MAF) MIDLAND INTL,08/22/2017,2059,Thunderstorm Wind,52.00, ,0,0,0,0,TX,CST-6,MG,119826,C,329,MAF,0,0,ASOS, , , ,0,N,0,N,(MAF) MIDLAND INTL,08/22/2017,2059,31.93,-102.2,31.93,-102.2,"A thunderstorm moved across Midland County and produced a 60 mph wind gust at Midland International Air and Space Port.","Warm temperatures were present in advance of a cold front. Good moisture was across the area. These conditions contributed to thunderstorms with strong winds across the Permian Basin.",14
719146,EL PASO CO.,FABENS ARPT,08/23/2017,1615,Flash Flood, , ,0,0,0,0,TX,MST-7, ,120011,C,141,EPZ,0,0,Trained Spotter,Heavy Rain, , ,1,ENE,2,E,FABENS ARPT,08/23/2017,1715,31.5285,-106.1346,31.5183,-106.1176,"Water was about 6 inches deep flowing across San Felipe Road just east of Interstate 10.","A surface low was located over far west Texas with an upper level trough approaching from Arizona.  Monsoonal moisture was still in place with dew points over 60F across the region.  Weak flow in the lower to mid levels kept storm motion slow and allowed heavy rain to fall near Fabens and create some localized flash flooding.",15
720930,KENEDY (ZONE), ,08/25/2017,1200,Tropical Storm, , ,0,0,0,0,TX,CST-6, ,120318,Z,251,BRO,0,0,Buoy, , , , , , , , ,08/25/2017,2030, , , , ,"Tropical storm force sustained winds (39 to 51 mph with gusts to 63 mph) arrived along and up to 10 to 15 miles (estimated) from the shoreline of Kenedy County during the afternoon of August 25, and likely continued across the north half of this area through sunset or just beyond as Hurricane Harvey scooted by some 80 (south) to 60 (north) miles of the shoreline. The Texas Coastal Ocean Observation Network (TCOON) sites at Rincon del San Jose and Baffin Bay - shoreline proxies to the coastline, reported sustained winds of 39 mph and 51 mph, respectively, with gusts to 47 and 63 mph, respectively.  No wind damage was reported over the largely unpopulated region.||While a storm surge estimated at up to 2 feet run up to and into the dunes along the barrier island, there were no indications from aerial photography of any new breaches or significant flooding or erosion.","Rapidly intensifying Hurricane Harvey moved along the outer edge of the Lower Texas Coastal waters from the pre-dawn hours through the mid afternoon of August 25th.  Harvey began the period as a Category 2 storm and was a mid range Category 3 storm as it headed toward the Texas Coastal Bend region, where it would make landfall as a 938 mb Category 4 wrecking ball near Rockport. ||The outskirts of Harvey produced tropical storm force gusts measured and estimated at 41 to 46 mph on South Padre Island to the western shoreline of Laguna Madre, in Cameron County, with gusts from 48 to 63 mph along the coast of Kenedy County, including the Laguna Madre shoreline.  Here, sustained tropical storm force winds of 39 to 51 mph were reported at shoreline buoys.  No damage was reported in these areas, which are vastly unpopulated.||Within the tropical storm force (sustained) wind area, other impacts included nuisance tidal overwash that ran into the dunes on the barrier island (South Padre and the Padre Island National Seashore north of Port Mansfield), with storm surge measured at 1.77 feet above predicted tide.  At Baffin Bay, the tide level peaked at 1.77 feet above Mean Sea Level, which likely equated to 2 feet of storm surge (based on similar reports farther south). No damage or beach erosion was reported at the Cameron County public and resort areas of South Padre, but there may have been minor erosion along the Kenedy County coast.  Backside northwest to west flow during the evening of the 25th, well after Harvey had passed north of the Lower Texas coast, trapped or enhanced water levels for one final high tide cycle during the evening especially along west-facing shores of Laguna Madre.||The heaviest rainfall spared most of the Lower Texas coast, with the highest reported at the cooperative site 7 miles east of Sarita (northeast Kenedy) with only 2.27 inches.  Bias corrected radar indicated a sliver of 3 to 4 inches near Baffin Bay and the Gulf intersection at the northeast tip of Kenedy County, which was absorbed easily on sandy soil.",16
723649,BRAZORIA (ZONE), ,08/25/2017,1200,Tropical Storm, , ,0,0,0,0,TX,CST-6, ,119753,Z,237,HGX,0,0,Emergency Manager, , , , , , , , ,08/30/2017,0, , , , ,"Slow moving Tropical Storm Harvey produced torrential rains and catastrophic flooding. Several tornadoes touched down. Major to record flooding occurred along the Brazos and San Bernard Rivers and several other creeks and tributaries including Oyster Creek. Flooding caused an estimated $2 billion in damage. See Flash Flood event report for more details.","Harvey made landfall as a category 4 hurricane near Rockport, Texas during the evening of August 25th. The storm then weakened to a tropical storm and slowed,  looping back and tracking over SE Texas then back over the Gulf of Mexico making a second landfall along the Louisiana coast during the early morning hours of August 30th. Over that 5 day period over Southeast Texas TS Harvey produced catastrophic flooding with a large area of 30 to 60 inches of rain, 23 tornadoes, tropical storm force winds and a moderate storm surge near Matagorda Bay.  In some of the heavier bands rain fell at a rate of over 5 inches per hour. This copious record amount of rain over a  led to catastrophic flooding. Thousands of homes, businesses, and roads were flooded due to flash flooding and sheet flow from long duration intense rain. Main stem rivers and adjoining tributaries, creeks and bayous reached full capacity and came out of their banks and this also contributed to the massive flooding across southeastern Texas.",17
723656,WHARTON (ZONE), ,08/25/2017,1200,Tropical Storm, , ,0,0,200000000,0,TX,CST-6, ,119753,Z,226,HGX,0,0,Emergency Manager, , , , , , , , ,08/30/2017,0, , , , ,"Slow moving Tropical Storm Harvey produced widespread catastrophic flooding across Wharton County. Major to record flooding occurred along the Colorado and San Bernard Rivers and several other creeks and tributaries. Two tornadoes were reported.","Harvey made landfall as a category 4 hurricane near Rockport, Texas during the evening of August 25th. The storm then weakened to a tropical storm and slowed,  looping back and tracking over SE Texas then back over the Gulf of Mexico making a second landfall along the Louisiana coast during the early morning hours of August 30th. Over that 5 day period over Southeast Texas TS Harvey produced catastrophic flooding with a large area of 30 to 60 inches of rain, 23 tornadoes, tropical storm force winds and a moderate storm surge near Matagorda Bay.  In some of the heavier bands rain fell at a rate of over 5 inches per hour. This copious record amount of rain over a  led to catastrophic flooding. Thousands of homes, businesses, and roads were flooded due to flash flooding and sheet flow from long duration intense rain. Main stem rivers and adjoining tributaries, creeks and bayous reached full capacity and came out of their banks and this also contributed to the massive flooding across southeastern Texas.",18
723652,AUSTIN (ZONE), ,08/25/2017,1200,Tropical Storm, , ,0,0,0,0,TX,CST-6, ,119753,Z,211,HGX,0,0,Local Official, , , , , , , , ,08/29/2017,1200, , , , ,"Slow moving Tropical Storm Harvey brought heavy rains and flooding to portions of Brazos, Burleson, Austin, Grimes, Washington and Madison Counties. Moderate to major lowland flooding occurred along rivers and numerous creeks and tributaries. This includes the Brazos at San Felipe, Davison Creek, etc.","Harvey made landfall as a category 4 hurricane near Rockport, Texas during the evening of August 25th. The storm then weakened to a tropical storm and slowed,  looping back and tracking over SE Texas then back over the Gulf of Mexico making a second landfall along the Louisiana coast during the early morning hours of August 30th. Over that 5 day period over Southeast Texas TS Harvey produced catastrophic flooding with a large area of 30 to 60 inches of rain, 23 tornadoes, tropical storm force winds and a moderate storm surge near Matagorda Bay.  In some of the heavier bands rain fell at a rate of over 5 inches per hour. This copious record amount of rain over a  led to catastrophic flooding. Thousands of homes, businesses, and roads were flooded due to flash flooding and sheet flow from long duration intense rain. Main stem rivers and adjoining tributaries, creeks and bayous reached full capacity and came out of their banks and this also contributed to the massive flooding across southeastern Texas.",19
723651,BURLESON (ZONE), ,08/25/2017,1200,Tropical Storm, , ,0,0,20000000,0,TX,CST-6, ,119753,Z,195,HGX,0,0,Local Official, , , , , , , , ,08/29/2017,1200, , , , ,"Slow moving Tropical Storm Harvey brought heavy rains and flooding to portions of Brazos, Burleson, Austin, Grimes, Washington and Madison Counties. Moderate to major lowland flooding occurred along rivers and numerous creeks and tributaries. This includes the Brazos at San Felipe, Davison Creek, etc.","Harvey made landfall as a category 4 hurricane near Rockport, Texas during the evening of August 25th. The storm then weakened to a tropical storm and slowed,  looping back and tracking over SE Texas then back over the Gulf of Mexico making a second landfall along the Louisiana coast during the early morning hours of August 30th. Over that 5 day period over Southeast Texas TS Harvey produced catastrophic flooding with a large area of 30 to 60 inches of rain, 23 tornadoes, tropical storm force winds and a moderate storm surge near Matagorda Bay.  In some of the heavier bands rain fell at a rate of over 5 inches per hour. This copious record amount of rain over a  led to catastrophic flooding. Thousands of homes, businesses, and roads were flooded due to flash flooding and sheet flow from long duration intense rain. Main stem rivers and adjoining tributaries, creeks and bayous reached full capacity and came out of their banks and this also contributed to the massive flooding across southeastern Texas.",20
723650,BRAZOS (ZONE), ,08/25/2017,1200,Tropical Storm, , ,0,0,15000000,0,TX,CST-6, ,119753,Z,196,HGX,0,0,Local Official, , , , , , , , ,08/29/2017,1200, , , , ,"Slow moving Tropical Storm Harvey brought heavy rains and flooding to portions of Brazos, Burleson, Austin, Grimes, Washington and Madison Counties. Moderate to major lowland flooding occurred along rivers and numerous creeks and tributaries. This includes the Brazos at San Felipe, Davison Creek, etc.","Harvey made landfall as a category 4 hurricane near Rockport, Texas during the evening of August 25th. The storm then weakened to a tropical storm and slowed,  looping back and tracking over SE Texas then back over the Gulf of Mexico making a second landfall along the Louisiana coast during the early morning hours of August 30th. Over that 5 day period over Southeast Texas TS Harvey produced catastrophic flooding with a large area of 30 to 60 inches of rain, 23 tornadoes, tropical storm force winds and a moderate storm surge near Matagorda Bay.  In some of the heavier bands rain fell at a rate of over 5 inches per hour. This copious record amount of rain over a  led to catastrophic flooding. Thousands of homes, businesses, and roads were flooded due to flash flooding and sheet flow from long duration intense rain. Main stem rivers and adjoining tributaries, creeks and bayous reached full capacity and came out of their banks and this also contributed to the massive flooding across southeastern Texas.",21
723659,CHAMBERS (ZONE), ,08/25/2017,1200,Tropical Storm, , ,0,0,1000000,0,TX,CST-6, ,119753,Z,214,HGX,0,0,Emergency Manager, , , , , , , , ,08/30/2017,1200, , , , ,"Slow moving Tropical Storm Harvey produced torrential rainfall across Liberty and Chambers Counties. Major to record flooding occurred along the Trinity River and along numerous creeks and tributaries.","Harvey made landfall as a category 4 hurricane near Rockport, Texas during the evening of August 25th. The storm then weakened to a tropical storm and slowed,  looping back and tracking over SE Texas then back over the Gulf of Mexico making a second landfall along the Louisiana coast during the early morning hours of August 30th. Over that 5 day period over Southeast Texas TS Harvey produced catastrophic flooding with a large area of 30 to 60 inches of rain, 23 tornadoes, tropical storm force winds and a moderate storm surge near Matagorda Bay.  In some of the heavier bands rain fell at a rate of over 5 inches per hour. This copious record amount of rain over a  led to catastrophic flooding. Thousands of homes, businesses, and roads were flooded due to flash flooding and sheet flow from long duration intense rain. Main stem rivers and adjoining tributaries, creeks and bayous reached full capacity and came out of their banks and this also contributed to the massive flooding across southeastern Texas.",22
723657,WALLER (ZONE), ,08/25/2017,1200,Tropical Storm, , ,0,0,350000000,0,TX,CST-6, ,119753,Z,212,HGX,0,0,Emergency Manager, , , , , , , , ,08/29/2017,1200, , , , ,"Slow moving Tropical Storm Harvey brought heavy rains and flooding to portions of Waller County. Moderate to major lowland flooding occurred along rivers and numerous creeks and tributaries. This includes the Brazos at San Felipe, and the San Bernard at East Bernard.","Harvey made landfall as a category 4 hurricane near Rockport, Texas during the evening of August 25th. The storm then weakened to a tropical storm and slowed,  looping back and tracking over SE Texas then back over the Gulf of Mexico making a second landfall along the Louisiana coast during the early morning hours of August 30th. Over that 5 day period over Southeast Texas TS Harvey produced catastrophic flooding with a large area of 30 to 60 inches of rain, 23 tornadoes, tropical storm force winds and a moderate storm surge near Matagorda Bay.  In some of the heavier bands rain fell at a rate of over 5 inches per hour. This copious record amount of rain over a  led to catastrophic flooding. Thousands of homes, businesses, and roads were flooded due to flash flooding and sheet flow from long duration intense rain. Main stem rivers and adjoining tributaries, creeks and bayous reached full capacity and came out of their banks and this also contributed to the massive flooding across southeastern Texas.",23
723654,WASHINGTON (ZONE), ,08/25/2017,1200,Tropical Storm, , ,0,0,150000000,0,TX,CST-6, ,119753,Z,197,HGX,0,0,Local Official, , , , , , , , ,08/29/2017,1200, , , , ,"Slow moving Tropical Storm Harvey brought heavy rains and flooding to portions of Brazos, Burleson, Austin, Grimes, Washington and Madison Counties. Moderate to major lowland flooding occurred along rivers and numerous creeks and tributaries. This includes the Brazos at San Felipe, Davison Creek, etc.","Harvey made landfall as a category 4 hurricane near Rockport, Texas during the evening of August 25th. The storm then weakened to a tropical storm and slowed,  looping back and tracking over SE Texas then back over the Gulf of Mexico making a second landfall along the Louisiana coast during the early morning hours of August 30th. Over that 5 day period over Southeast Texas TS Harvey produced catastrophic flooding with a large area of 30 to 60 inches of rain, 23 tornadoes, tropical storm force winds and a moderate storm surge near Matagorda Bay.  In some of the heavier bands rain fell at a rate of over 5 inches per hour. This copious record amount of rain over a  led to catastrophic flooding. Thousands of homes, businesses, and roads were flooded due to flash flooding and sheet flow from long duration intense rain. Main stem rivers and adjoining tributaries, creeks and bayous reached full capacity and came out of their banks and this also contributed to the massive flooding across southeastern Texas.",24
723653,GRIMES (ZONE), ,08/25/2017,1200,Tropical Storm, , ,0,0,50000000,0,TX,CST-6, ,119753,Z,198,HGX,0,0,Local Official, , , , , , , , ,08/29/2017,1200, , , , ,"Slow moving Tropical Storm Harvey brought heavy rains and flooding to portions of Brazos, Burleson, Austin, Grimes, Washington and Madison Counties. Moderate to major lowland flooding occurred along rivers and numerous creeks and tributaries. This includes the Brazos at San Felipe, Davison Creek, etc.","Harvey made landfall as a category 4 hurricane near Rockport, Texas during the evening of August 25th. The storm then weakened to a tropical storm and slowed,  looping back and tracking over SE Texas then back over the Gulf of Mexico making a second landfall along the Louisiana coast during the early morning hours of August 30th. Over that 5 day period over Southeast Texas TS Harvey produced catastrophic flooding with a large area of 30 to 60 inches of rain, 23 tornadoes, tropical storm force winds and a moderate storm surge near Matagorda Bay.  In some of the heavier bands rain fell at a rate of over 5 inches per hour. This copious record amount of rain over a  led to catastrophic flooding. Thousands of homes, businesses, and roads were flooded due to flash flooding and sheet flow from long duration intense rain. Main stem rivers and adjoining tributaries, creeks and bayous reached full capacity and came out of their banks and this also contributed to the massive flooding across southeastern Texas.",25
723658,LIBERTY (ZONE), ,08/25/2017,1200,Tropical Storm, , ,0,0,1000000000,0,TX,CST-6, ,119753,Z,200,HGX,0,0,Emergency Manager, , , , , , , , ,08/30/2017,0, , , , ,"Slow moving Tropical Storm Harvey produced torrential rainfall across Liberty and Chambers Counties. Major to record flooding occurred along the Trinity River and along numerous creeks and tributaries.","Harvey made landfall as a category 4 hurricane near Rockport, Texas during the evening of August 25th. The storm then weakened to a tropical storm and slowed,  looping back and tracking over SE Texas then back over the Gulf of Mexico making a second landfall along the Louisiana coast during the early morning hours of August 30th. Over that 5 day period over Southeast Texas TS Harvey produced catastrophic flooding with a large area of 30 to 60 inches of rain, 23 tornadoes, tropical storm force winds and a moderate storm surge near Matagorda Bay.  In some of the heavier bands rain fell at a rate of over 5 inches per hour. This copious record amount of rain over a  led to catastrophic flooding. Thousands of homes, businesses, and roads were flooded due to flash flooding and sheet flow from long duration intense rain. Main stem rivers and adjoining tributaries, creeks and bayous reached full capacity and came out of their banks and this also contributed to the massive flooding across southeastern Texas.",26
723655,MADISON (ZONE), ,08/25/2017,1200,Tropical Storm, , ,0,0,80000000,0,TX,CST-6, ,119753,Z,176,HGX,0,0,Local Official, , , , , , , , ,08/29/2017,1200, , , , ,"Slow moving Tropical Storm Harvey brought heavy rains and flooding to portions of Brazos, Burleson, Austin, Grimes, Washington and Madison Counties. Moderate to major lowland flooding occurred along rivers and numerous creeks and tributaries. This includes the Brazos at San Felipe, Davison Creek, etc.","Harvey made landfall as a category 4 hurricane near Rockport, Texas during the evening of August 25th. The storm then weakened to a tropical storm and slowed,  looping back and tracking over SE Texas then back over the Gulf of Mexico making a second landfall along the Louisiana coast during the early morning hours of August 30th. Over that 5 day period over Southeast Texas TS Harvey produced catastrophic flooding with a large area of 30 to 60 inches of rain, 23 tornadoes, tropical storm force winds and a moderate storm surge near Matagorda Bay.  In some of the heavier bands rain fell at a rate of over 5 inches per hour. This copious record amount of rain over a  led to catastrophic flooding. Thousands of homes, businesses, and roads were flooded due to flash flooding and sheet flow from long duration intense rain. Main stem rivers and adjoining tributaries, creeks and bayous reached full capacity and came out of their banks and this also contributed to the massive flooding across southeastern Texas.",27
