BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201708,22,1730,201708,22,1755,118032,711899,TEXAS,48,2017,August,Heavy Rain,C,219,HOCKLEY,LUB,22-Aug-17 17:30:00,CST-6,22-Aug-17 17:55:00,0,0,0,0,0.00K,0.00K,Mesonet,,,,,,,,,,,,4,S,LEVELLAND,4,S,LEVELLAND,33.5221,-102.37,33.5221,-102.37,"Numerous slow-moving thunderstorms erupted this afternoon in the southern Texas Panhandle along a weak cold front, before spreading south through the South Plains and Rolling Plains throughout the evening. Some of these storms redeveloped over the same areas, most notably in central Swisher County where Tulia and the nearby Middle Tule Creek experienced flash flooding from over four inches of rain in less than one hour. In Hockley County, a favorable merger of outflow boundaries supported a rotating thunderstorm that produced a swath of damaging winds and flash flooding. In addition to damaging several power poles and a Texas Tech University West Texas Mesonet, this storm produced incredible rainfall rates measured as great as 0.69 inches in 5 minutes, or 8.28 inches per hour.","A slow-moving, rotating thunderstorm produced incredible rainfall rates up to 0.69 inches in just five minutes (8.28 inches per hour) as measured by a Texas Tech University West Texas Mesonet.",CSV
201708,22,1615,201708,22,1800,118032,709520,TEXAS,48,2017,August,Flash Flood,C,437,SWISHER,LUB,22-Aug-17 16:15:00,CST-6,22-Aug-17 18:00:00,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,8,WSW,TULIA ARPT,7,W,TULIA ARPT,34.5157,-101.9099,34.5479,-101.903,"Numerous slow-moving thunderstorms erupted this afternoon in the southern Texas Panhandle along a weak cold front, before spreading south through the South Plains and Rolling Plains throughout the evening. Some of these storms redeveloped over the same areas, most notably in central Swisher County where Tulia and the nearby Middle Tule Creek experienced flash flooding from over four inches of rain in less than one hour. In Hockley County, a favorable merger of outflow boundaries supported a rotating thunderstorm that produced a swath of damaging winds and flash flooding. In addition to damaging several power poles and a Texas Tech University West Texas Mesonet, this storm produced incredible rainfall rates measured as great as 0.69 inches in 5 minutes, or 8.28 inches per hour.","Law enforcement in Tulia reported water flowing across streets and lawns in Tulia. The underpass at the junction of State Highway 86 and 87 was closed through the night from water up to five feet deep.  Just east of Tulia, the Middle Tule Creek rose out of its banks and partially flooded State Highway 86.",CSV
201708,22,1745,201708,22,1745,118032,709525,TEXAS,48,2017,August,Thunderstorm Wind,C,219,HOCKLEY,LUB,22-Aug-17 17:45:00,CST-6,22-Aug-17 17:45:00,0,0,0,0,42.00K,0.00K,Utility Company,52,EG,,,,,,,,,,1,SSW,LEVELLAND MUNI ARPT,4,S,LEVELLAND MUNI ARPT,33.5331,-102.3752,33.4921,-102.37,"Numerous slow-moving thunderstorms erupted this afternoon in the southern Texas Panhandle along a weak cold front, before spreading south through the South Plains and Rolling Plains throughout the evening. Some of these storms redeveloped over the same areas, most notably in central Swisher County where Tulia and the nearby Middle Tule Creek experienced flash flooding from over four inches of rain in less than one hour. In Hockley County, a favorable merger of outflow boundaries supported a rotating thunderstorm that produced a swath of damaging winds and flash flooding. In addition to damaging several power poles and a Texas Tech University West Texas Mesonet, this storm produced incredible rainfall rates measured as great as 0.69 inches in 5 minutes, or 8.28 inches per hour.",A series of downbursts damaged 19 utility poles along US Highway 385 and FM Road 1585 in southeast Hockley County.  These winds inflicted minor damage to a mesonet belonging to the Texas Tech University West Texas Mesonet.,CSV
201708,22,1430,201708,22,1630,118032,713492,TEXAS,48,2017,August,Heavy Rain,C,437,SWISHER,LUB,22-Aug-17 14:30:00,CST-6,22-Aug-17 16:30:00,0,0,0,0,0.00K,0.00K,Mesonet,,,,,,,,,,,,2,ENE,TULIA,2,ENE,TULIA,34.5411,-101.7375,34.5411,-101.7375,"Numerous slow-moving thunderstorms erupted this afternoon in the southern Texas Panhandle along a weak cold front, before spreading south through the South Plains and Rolling Plains throughout the evening. Some of these storms redeveloped over the same areas, most notably in central Swisher County where Tulia and the nearby Middle Tule Creek experienced flash flooding from over four inches of rain in less than one hour. In Hockley County, a favorable merger of outflow boundaries supported a rotating thunderstorm that produced a swath of damaging winds and flash flooding. In addition to damaging several power poles and a Texas Tech University West Texas Mesonet, this storm produced incredible rainfall rates measured as great as 0.69 inches in 5 minutes, or 8.28 inches per hour.",Backbuilding thunderstorms produced 3.45 inches of rain as measured by a Texas Tech University West Texas Mesonet located near Tulia. Radar estimated just over four inches of rain a short distance north of this mesonet.,CSV
201708,23,1615,201708,23,1715,120011,719146,TEXAS,48,2017,August,Flash Flood,C,141,EL PASO,EPZ,23-Aug-17 16:15:00,MST-7,23-Aug-17 17:15:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,Heavy Rain,,,,,,,,,1,ENE,FABENS ARPT,2,E,FABENS ARPT,31.5285,-106.1346,31.5183,-106.1176,A surface low was located over far west Texas with an upper level trough approaching from Arizona.  Monsoonal moisture was still in place with dew points over 60F across the region.  Weak flow in the lower to mid levels kept storm motion slow and allowed heavy rain to fall near Fabens and create some localized flash flooding.,Water was about 6 inches deep flowing across San Felipe Road just east of Interstate 10.,CSV
201708,25,1810,201708,25,1810,120012,719147,TEXAS,48,2017,August,Thunderstorm Wind,C,141,EL PASO,EPZ,25-Aug-17 18:10:00,MST-7,25-Aug-17 18:10:00,0,0,0,0,0.00K,0.00K,Mesonet,55,MG,,,,,,,,,,1,ESE,SMELTERTOWN,1,ESE,SMELTERTOWN,31.7715,-106.5028,31.7715,-106.5028,An upper high was located over the region trapping some modest monsoonal moisture over the region.  An isolated thunderstorm developed near downtown El Paso and moved into the UTEP area and produced severe wind gusts and flash flooding as up to 2.24 inches of rain fell in an hour.,,CSV
201708,25,1848,201708,25,2000,120012,719148,TEXAS,48,2017,August,Flash Flood,C,141,EL PASO,EPZ,25-Aug-17 18:48:00,MST-7,25-Aug-17 20:00:00,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,0,N,SMELTERTOWN,2,SE,SMELTERTOWN,31.7839,-106.5205,31.7573,-106.4989,An upper high was located over the region trapping some modest monsoonal moisture over the region.  An isolated thunderstorm developed near downtown El Paso and moved into the UTEP area and produced severe wind gusts and flash flooding as up to 2.24 inches of rain fell in an hour.,"Two vehicles were stranded in high water at intersection of Mesa and Sun Bowl Drive.  In addition, Interstate 10 eastbound at Porfirio Diaz had 3 of 4 lanes closed down due to flooding.",CSV
201708,25,1720,201708,25,1721,119853,718515,TEXAS,48,2017,August,Thunderstorm Wind,C,135,ECTOR,MAF,25-Aug-17 17:20:00,CST-6,25-Aug-17 17:21:00,0,0,0,0,8.00K,,Law Enforcement,61,EG,,,,,,,,,,6,W,ODESSA,6,W,ODESSA,31.85,-102.4722,31.85,-102.4722,There was an upper trough that extended from West Texas to the Central Plains. Very rich moisture was across West Texas and southeast New Mexico. These conditions resulted in thunderstorms with damaging winds across the Permian Basin.,A thunderstorm moved across Ector County and produced wind damage in West Odessa. There were a few powerpoles and several trees down which resulted in some road closures. The cost of damage is a very rough estimate.,CSV
201708,25,1200,201708,25,2030,120318,720930,TEXAS,48,2017,August,Tropical Storm,Z,251,KENEDY,BRO,25-Aug-17 12:00:00,CST-6,25-Aug-17 20:30:00,0,0,0,0,0.00K,0.00K,Buoy,,,,,,,,,,,,,,,,,,,,,,"Rapidly intensifying Hurricane Harvey moved along the outer edge of the Lower Texas Coastal waters from the pre-dawn hours through the mid afternoon of August 25th.  Harvey began the period as a Category 2 storm and was a mid range Category 3 storm as it headed toward the Texas Coastal Bend region, where it would make landfall as a 938 mb Category 4 wrecking ball near Rockport. ||The outskirts of Harvey produced tropical storm force gusts measured and estimated at 41 to 46 mph on South Padre Island to the western shoreline of Laguna Madre, in Cameron County, with gusts from 48 to 63 mph along the coast of Kenedy County, including the Laguna Madre shoreline.  Here, sustained tropical storm force winds of 39 to 51 mph were reported at shoreline buoys.  No damage was reported in these areas, which are vastly unpopulated.||Within the tropical storm force (sustained) wind area, other impacts included nuisance tidal overwash that ran into the dunes on the barrier island (South Padre and the Padre Island National Seashore north of Port Mansfield), with storm surge measured at 1.77 feet above predicted tide.  At Baffin Bay, the tide level peaked at 1.77 feet above Mean Sea Level, which likely equated to 2 feet of storm surge (based on similar reports farther south). No damage or beach erosion was reported at the Cameron County public and resort areas of South Padre, but there may have been minor erosion along the Kenedy County coast.  Backside northwest to west flow during the evening of the 25th, well after Harvey had passed north of the Lower Texas coast, trapped or enhanced water levels for one final high tide cycle during the evening especially along west-facing shores of Laguna Madre.||The heaviest rainfall spared most of the Lower Texas coast, with the highest reported at the cooperative site 7 miles east of Sarita (northeast Kenedy) with only 2.27 inches.  Bias corrected radar indicated a sliver of 3 to 4 inches near Baffin Bay and the Gulf intersection at the northeast tip of Kenedy County, which was absorbed easily on sandy soil.","Tropical storm force sustained winds (39 to 51 mph with gusts to 63 mph) arrived along and up to 10 to 15 miles (estimated) from the shoreline of Kenedy County during the afternoon of August 25, and likely continued across the north half of this area through sunset or just beyond as Hurricane Harvey scooted by some 80 (south) to 60 (north) miles of the shoreline. The Texas Coastal Ocean Observation Network (TCOON) sites at Rincon del San Jose and Baffin Bay - shoreline proxies to the coastline, reported sustained winds of 39 mph and 51 mph, respectively, with gusts to 47 and 63 mph, respectively.  No wind damage was reported over the largely unpopulated region.||While a storm surge estimated at up to 2 feet run up to and into the dunes along the barrier island, there were no indications from aerial photography of any new breaches or significant flooding or erosion.",CSV
201708,25,1200,201708,29,1200,119753,723646,TEXAS,48,2017,August,Tropical Storm,Z,236,MATAGORDA,HGX,25-Aug-17 12:00:00,CST-6,29-Aug-17 12:00:00,0,0,0,0,500.00M,,Emergency Manager,,,,,,,,,,,,,,,,,,,,,,"Harvey made landfall as a category 4 hurricane near Rockport, Texas during the evening of August 25th. The storm then weakened to a tropical storm and slowed,  looping back and tracking over SE Texas then back over the Gulf of Mexico making a second landfall along the Louisiana coast during the early morning hours of August 30th. Over that 5 day period over Southeast Texas TS Harvey produced catastrophic flooding with a large area of 30 to 60 inches of rain, 23 tornadoes, tropical storm force winds and a moderate storm surge near Matagorda Bay.  In some of the heavier bands rain fell at a rate of over 5 inches per hour. This copious record amount of rain over a  led to catastrophic flooding. Thousands of homes, businesses, and roads were flooded due to flash flooding and sheet flow from long duration intense rain. Main stem rivers and adjoining tributaries, creeks and bayous reached full capacity and came out of their banks and this also contributed to the massive flooding across southeastern Texas.","Harvey made landfall as a category 4 hurricane near Rockport, Texas during the evening of August 25th then slowed and looped back tracking over SE Texas, back over the Gulf of Mexico then making a second landfall along the Louisiana coast during the early morning hours of August 30th. Matagorda and Jackson counties experienced moderate storm surge along Matagorda Bay, Tropical Storm force winds and major lowland flooding along the Palacious and Navidad Rivers.",CSV
