OBJECTID_1,GEOID,STATE,STUSAB,STATE_NAME,COUNTY,NAME,B25002EST1,B25002EST2,B25002EST2_PCT,B25002EST3,B25002EST3_PCT,B25009EST2,B25009EST2_PCT,B25009EST3,B25009EST3_PCT,B25009EST4,B25009EST4_PCT,B25009EST5,B25009EST5_PCT,B25009EST6,B25009EST6_PCT,B25009EST7,B25009EST7_PCT,B25009_OWNOCC_6PLUS,B25009_OWN_6PLUS_PCT,B25009EST10,B25009EST10_PCT,B25009EST11,B25009EST11_PCT,B25009EST12,B25009EST12_PCT,B25009EST13,B25009EST13_PCT,B25009EST14,B25009EST14_PCT,B25009EST15,B25009EST15_PCT,B25009_RENTOCC_6PLUS,B25009_RENT_6PLUS_PCT,B25009_TOT_1,B25009_TOT_1_PCT,B25009_TOT_2,B25009_TOT_2_PCT,B25009_TOT_3,B25009_TOT_3_PCT,B25009_TOT_4,B25009_TOT_4_PCT,B25009_TOT_5,B25009_TOT_5_PCT,B25009_TOT_6PLUS,B25009_TOT_6PLUS_PCT,B25037EST3,B25041EST2,B25041EST2_PCT,B25041EST3,B25041EST3_PCT,B25041EST4,B25041EST4_PCT,B25041_3PLUS_BDR,B25041_3PLUS_BDR_PCT,B25021EST1,B25021EST2,B25021EST3,B25024EST2,B25024EST2_PCT,B25024EST3,B25024EST3_PCT,B25024_2TO4,B25024_2TO4_PCT,B25024_5TO19,B25024_5TO19_PCT,B25024_20PLUS,B25024_20PLUS_PCT,B25024_OTHER,B25024_OTHER_PCT,B25032EST2,B25032EST3,B25032EST3_PCT,B25032EST4,B25032EST4_PCT,B25032_OWN_2TO4,B25032_OWN_2TO4_PCT,B25032_OWN_5TO19,B25032_OWN_5TO19_PCT,B25032_OWN_20PLUS,B25032_OWN_20PLUS_PCT,B25032_OWN_OTHER,B25032_OWN_OTHER_PCT,B25032EST13,B25032EST14,B25032EST14_PCT,B25032EST15,B25032EST15_PCT,B25032_RENT_2TO4,B25032_RENT_2TO4_PCT,B25032_RENT_5TO19,B25032_RENT_5TO19_PCT,B25032_RENT_20PLUS,B25032_RENT_20PLUS_PCT,B25032_RENT_OTHER,B25032_RENT_OTHER_PCT,B25036_OWN_2KPLUS,B25036_OWN_2KPLUS_PCT,B25036_OWN_80TO99,B25036_OWN_80TO99_PCT,B25036_OWN_50TO79,B25036_OWN_50TO79_PCT,B25036_OWN_49MINUS,B25036_OWN_49MINUS_PCT,B25036_RENT_2KPLUS,B25036_RENT_2KPLUS_PCT,B25036_RENT_80TO99,B25036_RENT_80TO99_PCT,B25036_RENT_50TO79,B25036_RENT_50TO79_PCT,B25036_RENT_49MINUS,B25036_RENT_49MINUS_PCT,B25036_RENT_80MINUS,B25036_RENT_80MINUS_PCT,B25036_TOT_2KPLUS,B25036_TOT_2KPLUS_PCT,B25036_TOT_80TO99,B25036_TOT_80TO99_PCT,B25036_TOT_50TO79,B25036_TOT_50TO79_PCT,B25036_TOT_49MINUS,B25036_TOT_49MINUS_PCT,B25068EST2,B25068EST2_PCT,B25068EST4,B25068EST4_PCT,B25068_0BDR_200TO499,B25068_0BDR_200TO499_PCT,B25068_0BDR_500TO999,B25068_0BDR_500TO999_PCT,B25068EST9,B25068EST9_PCT,B25068EST10,B25068EST10_PCT,B25068EST11,B25068EST11_PCT,B25068EST13,B25068EST13_PCT,B25068_1BDR_200TO499,B25068_1BDR_200TO499_PCT,B25068_1BDR_500TO999,B25068_1BDR_500TO999_PCT,B25068EST18,B25068EST18_PCT,B25068EST19,B25068EST19_PCT,B25068EST20,B25068EST20_PCT,B25068EST22,B25068EST22_PCT,B25068_2BDR_200TO499,B25068_2BDR_200TO499_PCT,B25068_2BDR_500TO999,B25068_2BDR_500TO999_PCT,B25068EST27,B25068EST27_PCT,B25068EST28,B25068EST28_PCT,B25068EST29,B25068EST29_PCT,B25068EST31,B25068EST31_PCT,B25068_3PLUSBDR_200TO499,B25068_3PLUSBDR_200TO499_PCT,B25068_3PLUSBDR_500TO999,B25068_3PLUSBDR_500TO999_PCT,B25068EST36,B25068EST36_PCT,B25068EST37,B25068EST37_PCT,B25056_500MINUS,B25056_500MINUS_PCT,B25056_500TO599,B25056_500TO599_PCT,B25056_600TO699,B25056_600TO699_PCT,B25056_700TO799,B25056_700TO799_PCT,B25056EST18,B25056EST18_PCT,B25056EST19,B25056EST19_PCT,B25056EST20,B25056EST20_PCT,B25056EST21,B25056EST21_PCT,B25056EST22,B25056EST22_PCT,B25056EST23,B25056EST23_PCT,B25056EST24,B25056EST24_PCT,B25058EST1,B25042EST3,B25042EST3_PCT,B25042EST4,B25042EST4_PCT,B25042EST5,B25042EST5_PCT,B25042_OWN_3PLUS_BDR,B25042_OWN_3PLUS_BDR_PCT,B25042EST10,B25042EST10_PCT,B25042EST11,B25042EST11_PCT,B25042EST12,B25042EST12_PCT,B25042_RENT_3PLUS_BDR,B25042_RENT_3PLUS_BDR_PCT,B25097EST1,B25097EST2,B25097EST3,B25123_TOT,B25123_TOT_1,B25123_TOT_2,B25123_TOT_3,B25123_TOT_4,B25123EST3,B25123EST3_PCT,B25123EST4,B25123EST4_PCT,B25123EST5,B25123EST5_PCT,B25123EST6,B25123EST6_PCT,B25123EST7,B25123EST7_PCT,B25123EST9,B25123EST9_PCT,B25123EST10,B25123EST10_PCT,B25123EST11,B25123EST11_PCT,B25123EST12,B25123EST12_PCT,B25123EST13,B25123EST13_PCT,Shape__Area,Shape__Length
2114,48209,48,TX,Texas,209,Hays,81696,76724,93.91,4972,6.09,47715,62.19,7841,16.43,17734,37.17,8227,17.24,8482,17.78,3293,6.9,2138,4.48,29009,37.81,9479,32.68,9304,32.07,4738,16.33,2811,9.69,1605,5.53,1072,3.7,17320,22.57,27038,35.24,12965,16.9,11293,14.72,4898,6.38,3210,4.18,2002,1671,2.05,7603,9.31,14716,18.01,57706,70.64,5.4,6.2,4,52909,64.76,1217,1.49,3871,4.74,9157,11.21,7631,9.34,6911,8.46,47715,42671,89.43,400,0.84,134,0.28,34,0.07,70,0.15,4406,9.23,29009,7565,26.08,797,2.75,3533,12.18,8144,28.07,6965,24.01,2005,6.91,28578,59.89,12468,26.13,5710,11.97,959,2.01,15985,55.1,8477,29.22,3484,12.01,1063,3.66,4547,15.67,44563,58.08,20945,27.3,9194,11.98,2022,2.64,1219,4.2,16,1.31,0,0,455,37.33,708,68302.05,40,3.28,6418,22.12,135,2.1,234,3.65,2387,37.19,3640,56.72,22,0.34,9916,34.18,96,0.97,85,0.86,2789,28.13,6694,67.51,252,2.54,11456,39.49,11,0.1,223,1.95,2504,21.86,8049,70.26,669,5.84,1135,3.91,1637,5.64,2247,7.75,2003,6.9,2991,10.31,3050,10.51,6661,22.96,3811,13.14,3967,13.68,524,1.81,983,3.39,1036,162,0.34,534,1.12,3468,7.27,43551,91.27,1219,4.2,6418,22.12,9916,34.18,11456,39.49,258000,259100,254900,50372,24863,1419,49,21,10374,21.74,481,1.01,1,0,0,0,36859,77.25,14489,49.95,938,3.23,48,0.17,21,0.07,13513,46.58,2354756939,216238.2159
2139,48503,48,TX,Texas,503,Young,8730,7491,85.81,1239,14.19,5547,74.05,1382,24.91,2416,43.56,616,11.11,837,15.09,197,3.55,99,1.78,1944,25.95,676,34.77,505,25.98,312,16.05,240,12.35,208,10.7,3,0.15,2058,27.47,2921,38.99,928,12.39,1077,14.38,405,5.41,102,1.36,1971,143,1.64,530,6.07,2311,26.47,5746,65.82,5.8,6.1,4.7,6908,79.13,137,1.57,477,5.46,295,3.38,22,0.25,891,10.21,5547,5122,92.34,23,0.41,17,0.31,0,0,0,0,385,6.94,1944,1030,52.98,50,2.57,425,21.86,142,7.3,22,1.13,275,14.15,956,17.23,1189,21.44,2715,48.95,687,12.39,265,13.63,385,19.8,1123,57.77,171,8.8,1294,66.56,1221,16.3,1574,21.01,3838,51.23,858,11.45,84,4.32,0,0,0,0,84,100,0,0,0,0,334,17.18,57,17.07,74,22.16,200,59.88,0,0,3,0.9,843,43.36,46,5.46,67,7.95,539,63.94,10,1.19,181,21.47,683,35.13,36,5.27,34,4.98,283,41.43,196,28.7,134,19.62,790,40.64,297,15.28,244,12.55,158,8.13,61,3.14,4,0.21,32,1.65,0,0,40,2.06,0,0,318,16.36,506,59,1.06,98,1.77,986,17.78,4404,79.39,84,4.32,334,17.18,843,43.36,683,35.13,122100,156300,103800,6075,1321,65,30,0,824,14.85,21,0.38,0,0,0,0,4702,84.77,497,25.57,44,2.26,30,1.54,0,0,1373,70.63,3450810510,235351.5884
2140,48505,48,TX,Texas,505,Zapata,6468,4689,72.5,1779,27.5,3287,70.1,611,18.59,1235,37.57,389,11.83,711,21.63,131,3.99,210,6.39,1402,29.9,642,45.79,86,6.13,305,21.75,148,10.56,109,7.77,112,7.99,1253,26.72,1321,28.17,694,14.8,859,18.32,240,5.12,322,6.87,1991,125,1.93,630,9.74,2289,35.39,3424,52.94,4.7,5,3.5,4055,62.69,18,0.28,332,5.13,140,2.16,110,1.7,1813,28.03,3287,2679,81.5,18,0.55,0,0,0,0,0,0,590,17.95,1402,427,30.46,0,0,272,19.4,69,4.92,110,7.85,524,37.38,491,14.94,1729,52.6,1000,30.42,67,2.04,338,24.11,844,60.2,220,15.69,0,0,220,15.69,829,17.68,2573,54.87,1220,26.02,67,1.43,65,4.64,16,24.62,19,29.23,0,0,0,0,30,46.15,338,24.11,176,52.07,110,32.54,52,15.38,0,0,0,0,529,37.73,27,5.1,57,10.78,297,56.14,0,0,148,27.98,470,33.52,0,0,76,16.17,260,55.32,35,7.45,99,21.06,917,65.41,0,0,56,3.99,117,8.35,0,0,35,2.5,0,0,0,0,0,0,0,0,277,19.76,337,35,1.06,84,2.56,957,29.11,2211,67.26,65,4.64,338,24.11,529,37.73,470,33.52,88700,120000,79000,3131,1293,265,0,0,694,21.11,76,2.31,0,0,0,0,2517,76.57,599,42.72,189,13.48,0,0,0,0,614,43.79,3464378895,268015.899
2141,48507,48,TX,Texas,507,Zavala,4423,3674,83.07,749,16.93,2710,73.76,341,12.58,1083,39.96,592,21.85,277,10.22,239,8.82,178,6.57,964,26.24,208,21.58,191,19.81,270,28.01,126,13.07,154,15.98,15,1.56,549,14.94,1274,34.68,862,23.46,403,10.97,393,10.7,193,5.25,1973,177,4,180,4.07,839,18.97,3227,72.96,5.4,5.8,4.4,2777,62.79,60,1.36,477,10.78,17,0.38,6,0.14,1086,24.55,2710,1925,71.03,0,0,14,0.52,17,0.63,0,0,754,27.82,964,421,43.67,60,6.22,328,34.02,0,0,6,0.62,149,15.46,394,14.54,954,35.2,996,36.75,366,13.51,168,17.43,165,17.12,604,62.66,27,2.8,631,65.46,562,15.3,1119,30.46,1600,43.55,393,10.7,81,8.4,0,0,6,7.41,0,0,75,7500,0,0,124,12.86,28,22.58,32,25.81,35,28.23,14,11.29,15,12.1,305,31.64,75,24.59,0,0,185,60.66,0,0,45,14.75,454,47.1,84,18.5,19,4.19,260,57.27,28,6.17,63,13.88,443,45.95,91,9.44,190,19.71,0,0,89,9.23,0,0,0,0,28,2.9,0,0,0,0,123,12.76,480,8,0.3,43,1.59,189,6.97,2470,91.14,81,8.4,124,12.86,305,31.64,454,47.1,59400,64500,57000,2785,690,199,0,0,384,14.17,18,0.66,0,0,0,0,2308,85.17,306,31.74,181,18.78,0,0,0,0,477,49.48,4411887059,269389.5013
2184,48269,48,TX,Texas,269,King,151,90,59.6,61,40.4,35,38.89,7,20,6,17.14,19,54.29,3,8.57,0,0,0,0,55,61.11,12,21.82,17,30.91,10,18.18,14,25.45,2,3.64,0,0,19,21.11,23,25.56,29,32.22,17,18.89,2,2.22,0,0,2000,8,5.3,8,5.3,30,19.87,105,69.54,5.3,5.9,4.8,120,79.47,10,6.62,7,4.64,2,1.32,0,0,12,7.95,35,32,91.43,0,0,0,0,0,0,0,0,3,8.57,55,37,67.27,10,18.18,0,0,2,3.64,0,0,6,10.91,2,5.71,1,2.86,6,17.14,26,74.29,27,49.09,13,23.64,13,23.64,2,3.64,15,27.27,29,32.22,14,15.56,19,21.11,28,31.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18.18,0,0,0,0,2,20,0,0,8,80,45,81.82,0,0,0,0,4,8.89,2,4.44,39,86.67,4,7.27,0,0,0,0,0,0,2,3.64,0,0,0,0,0,0,0,0,2,3.64,47,85.45,,0,0,2,5.71,0,0,33,94.29,0,0,0,0,10,18.18,45,81.82,22800,,23100,84,6,0,0,0,0,0,0,0,0,0,0,0,35,100,6,10.91,0,0,0,0,0,0,49,89.09,3419997856,233914.6663
2209,48271,48,TX,Texas,271,Kinney,2010,1475,73.38,535,26.62,1110,75.25,442,39.82,421,37.93,121,10.9,43,3.87,83,7.48,0,0,365,24.75,204,55.89,64,17.53,48,13.15,49,13.42,0,0,0,0,646,43.8,485,32.88,169,11.46,92,6.24,83,5.63,0,0,1979,32,1.59,278,13.83,558,27.76,1142,56.82,5.2,5.3,5,1449,72.09,9,0.45,105,5.22,31,1.54,0,0,416,20.7,1110,822,74.05,9,0.81,0,0,0,0,0,0,279,25.14,365,260,71.23,0,0,105,28.77,0,0,0,0,0,0,113,10.18,432,38.92,482,43.42,83,7.48,8,2.19,156,42.74,126,34.52,75,20.55,201,55.07,121,8.2,588,39.86,608,41.22,158,10.71,0,0,0,0,0,0,0,0,0,0,0,0,65,17.81,21,32.31,44,67.69,0,0,0,0,0,0,52,14.25,0,0,0,0,14,26.92,0,0,38,73.08,248,67.95,14,5.65,0,0,75,30.24,101,40.73,58,23.39,168,46.03,0,0,0,0,0,0,0,0,0,0,101,27.67,0,0,0,0,0,0,96,26.3,378,32,2.88,168,15.14,241,21.71,669,60.27,0,0,65,17.81,52,14.25,248,67.95,82000,111800,59000,1387,74,0,14,0,36,3.24,0,0,14,1.26,0,0,1060,95.5,38,10.41,0,0,0,0,0,0,327,89.59,4669443173,287758.1413
2210,48273,48,TX,Texas,273,Kleberg,13310,11140,83.7,2170,16.3,5815,52.2,1115,19.17,2308,39.69,602,10.35,1158,19.91,371,6.38,261,4.49,5325,47.8,1906,35.79,1456,27.34,948,17.8,577,10.84,272,5.11,166,3.12,3021,27.12,3764,33.79,1550,13.91,1735,15.57,643,5.77,427,3.83,1977,828,6.22,1100,8.26,3874,29.11,7508,56.41,5.2,5.9,4.4,8954,67.27,301,2.26,1291,9.7,1057,7.94,783,5.88,924,6.94,5815,5334,91.73,31,0.53,0,0,8,0.14,0,0,442,7.6,5325,2365,44.41,270,5.07,903,16.96,962,18.07,599,11.25,226,4.24,1174,20.19,1124,19.33,3026,52.04,491,8.44,1356,25.46,922,17.31,2533,47.57,514,9.65,3047,57.22,2530,22.71,2046,18.37,5559,49.9,1005,9.02,397,7.46,84,21.16,62,15.62,168,42.32,0,0,83,20.91,852,16,77,9.04,29,3.4,525,61.62,173,20.31,48,5.63,2124,39.89,147,6.92,156,7.34,1268,59.7,342,16.1,211,9.93,1952,36.66,138,7.07,15,0.77,785,40.22,977,50.05,37,1.9,1136,21.33,719,13.5,663,12.45,1018,19.12,307,5.77,159,2.99,294,5.52,510,9.58,131,2.46,9,0.17,379,7.12,690,114,1.96,81,1.39,1093,18.8,4527,77.85,397,7.46,852,16,2124,39.89,1952,36.66,98500,140100,82100,7092,3768,280,0,0,1217,20.93,19,0.33,0,0,0,0,4579,78.74,2551,47.91,261,4.9,0,0,0,0,2513,47.19,2910735331,771415.8313
2211,48275,48,TX,Texas,275,Knox,2030,1394,68.67,636,31.33,1180,84.65,291,24.66,524,44.41,52,4.41,177,15,95,8.05,41,3.47,214,15.35,91,42.52,65,30.37,23,10.75,1,0.47,12,5.61,22,10.28,382,27.4,589,42.25,75,5.38,178,12.77,107,7.68,63,4.52,1970,25,1.23,94,4.63,566,27.88,1345,66.26,5.5,5.7,4.8,1803,88.82,18,0.89,68,3.35,0,0,31,1.53,110,5.42,1180,1117,94.66,5,0.42,0,0,0,0,0,0,58,4.92,214,137,64.02,0,0,46,21.5,0,0,31,14.49,0,0,58,4.92,175,14.83,660,55.93,287,24.32,13,6.07,38,17.76,100,46.73,63,29.44,163,76.17,71,5.09,213,15.28,760,54.52,350,25.11,0,0,0,0,0,0,0,0,0,0,0,0,62,28.97,13,20.97,0,0,31,50,0,0,18,29.03,76,35.51,3,3.95,17,22.37,27,35.53,0,0,29,38.16,76,35.51,4,5.26,15,19.74,12,15.79,13,17.11,32,42.11,89,41.59,15,7.01,0,0,0,0,31,14.49,0,0,0,0,0,0,0,0,0,0,79,36.92,444,1,0.08,4,0.34,360,30.51,815,69.07,0,0,62,28.97,76,35.51,76,35.51,43300,40600,44500,1172,222,0,0,0,135,11.44,0,0,0,0,0,0,1045,88.56,87,40.65,0,0,0,0,0,0,127,59.35,3202572619,262919.3786
2212,48277,48,TX,Texas,277,Lamar,22807,19995,87.67,2812,12.33,12940,64.72,3081,23.81,5412,41.82,2000,15.46,1187,9.17,910,7.03,350,2.7,7055,35.28,2769,39.25,1883,26.69,1244,17.63,562,7.97,368,5.22,229,3.25,5850,29.26,7295,36.48,3244,16.22,1749,8.75,1278,6.39,579,2.9,1979,450,1.97,2376,10.42,6245,27.38,13736,60.23,5.9,6.3,5,16632,72.92,651,2.85,1613,7.07,1181,5.18,866,3.8,1864,8.17,12940,11434,88.36,382,2.95,14,0.11,0,0,0,0,1110,8.58,7055,3360,47.63,251,3.56,1416,20.07,849,12.03,680,9.64,499,7.07,2773,21.43,4486,34.67,4426,34.2,1255,9.7,1061,15.04,2328,33,3010,42.66,656,9.3,3666,51.96,3834,19.17,6814,34.08,7436,37.19,1911,9.56,189,2.68,5,2.65,85,44.97,56,29.63,43,22.75,0,0,1449,20.54,129,8.9,313,21.6,869,59.97,87,6,51,3.52,2643,37.46,118,4.46,307,11.62,1940,73.4,172,6.51,106,4.01,2774,39.32,61,2.2,77,2.78,1339,48.27,915,32.98,382,13.77,2689,38.11,1323,18.75,970,13.75,478,6.78,481,6.82,161,2.28,129,1.83,89,1.26,73,1.03,123,1.74,539,7.64,540,53,0.41,558,4.31,2495,19.28,9834,76,189,2.68,1449,20.54,2643,37.46,2774,39.32,108500,146000,90100,14219,5363,395,18,0,2472,19.1,108,0.83,18,0.14,0,0,10342,79.92,2891,40.98,287,4.07,0,0,0,0,3877,54.95,3498075630,330129.6102
2213,48279,48,TX,Texas,279,Lamb,6069,4706,77.54,1363,22.46,3441,73.12,1000,29.06,1034,30.05,443,12.87,491,14.27,243,7.06,230,6.68,1265,26.88,506,40,219,17.31,254,20.08,193,15.26,34,2.69,59,4.66,1506,32,1253,26.63,697,14.81,684,14.53,277,5.89,289,6.14,1974,45,0.74,224,3.69,1688,27.81,4112,67.75,5.6,6,4.9,5059,83.36,45,0.74,294,4.84,99,1.63,68,1.12,504,8.3,3441,3201,93.03,14,0.41,0,0,3,0.09,0,0,223,6.48,1265,787,62.21,16,1.26,236,18.66,86,6.8,68,5.38,72,5.69,253,7.35,507,14.73,2050,59.58,631,18.34,77,6.09,478,37.79,515,40.71,195,15.42,710,56.13,330,7.01,985,20.93,2565,54.5,826,17.55,0,0,0,0,0,0,0,0,0,0,0,0,111,8.77,7,6.31,61,54.95,24,21.62,12,10.81,7,6.31,631,49.88,24,3.8,37,5.86,375,59.43,74,11.73,121,19.18,523,41.34,0,0,25,4.78,263,50.29,26,4.97,209,39.96,527,41.66,179,14.15,67,5.3,80,6.32,37,2.92,0,0,38,3,0,0,0,0,0,0,337,26.64,478,11,0.32,35,1.02,630,18.31,2765,80.35,0,0,111,8.77,631,49.88,523,41.34,67900,102300,55200,3679,970,50,7,0,477,13.86,35,1.02,7,0.2,0,0,2922,84.92,493,38.97,15,1.19,0,0,0,0,757,59.84,3850992872,248594.6677
2214,48281,48,TX,Texas,281,Lampasas,9459,7823,82.7,1636,17.3,6245,79.83,1153,18.46,2530,40.51,1193,19.1,739,11.83,479,7.67,151,2.42,1578,20.17,676,42.84,479,30.35,182,11.53,118,7.48,32,2.03,91,5.77,1829,23.38,3009,38.46,1375,17.58,857,10.95,511,6.53,242,3.09,1979,148,1.56,500,5.29,1623,17.16,7188,75.99,6,6.3,4.1,7000,74,25,0.26,489,5.17,206,2.18,196,2.07,1543,16.31,6245,5359,85.81,23,0.37,3,0.05,0,0,0,0,860,13.77,1578,588,37.26,2,0.13,462,29.28,178,11.28,196,12.42,152,9.63,2302,36.86,1864,29.85,1648,26.39,431,6.9,295,18.69,438,27.76,746,47.28,99,6.27,845,53.55,2597,33.2,2302,29.43,2394,30.6,530,6.77,37,2.34,0,0,11,29.73,6,16.22,0,0,20,54.05,369,23.38,50,13.55,99,26.83,216,58.54,0,0,4,1.08,664,42.08,43,6.48,3,0.45,416,62.65,168,25.3,34,5.12,508,32.19,0,0,30,5.91,257,50.59,170,33.46,51,10.04,533,33.78,262,16.6,292,18.5,145,9.19,95,6.02,10,0.63,24,1.52,2,0.13,106,6.72,0,0,109,6.91,572,44,0.7,88,1.41,581,9.3,5532,88.58,37,2.34,369,23.38,664,42.08,508,32.19,166500,180600,151600,5636,2010,177,0,0,1390,22.26,54,0.86,0,0,0,0,4801,76.88,620,39.29,123,7.79,0,0,0,0,835,52.92,2533771279,236033.1322
2215,48283,48,TX,Texas,283,La Salle,2809,2142,76.25,667,23.75,1585,74,260,16.4,504,31.8,447,28.2,173,10.91,59,3.72,142,8.96,557,26,196,35.19,234,42.01,47,8.44,45,8.08,30,5.39,5,0.9,456,21.29,738,34.45,494,23.06,218,10.18,89,4.15,147,6.86,1987,137,4.88,215,7.65,808,28.76,1649,58.7,5.4,5.8,4.1,1864,66.36,40,1.42,130,4.63,0,0,46,1.64,729,25.95,1585,1245,78.55,40,2.52,0,0,0,0,0,0,300,18.93,557,231,41.47,0,0,74,13.29,0,0,46,8.26,206,36.98,183,11.55,316,19.94,725,45.74,361,22.78,120,21.54,273,49.01,124,22.26,40,7.18,164,29.44,303,14.15,589,27.5,849,39.64,401,18.72,0,0,0,0,0,0,0,0,0,0,0,0,129,23.16,65,50.39,27,20.93,37,28.68,0,0,0,0,241,43.27,0,0,2,0.83,156,64.73,0,0,83,34.44,187,33.57,0,0,0,0,17,9.09,33,17.65,137,73.26,145,26.03,159,28.55,5,0.9,28,5.03,0,0,0,0,0,0,0,0,0,0,0,0,220,39.5,508,0,0,33,2.08,335,21.14,1217,76.78,0,0,129,23.16,241,43.27,187,33.57,84000,167800,76400,1522,620,0,0,0,504,31.8,0,0,0,0,0,0,1081,68.2,116,20.83,0,0,0,0,0,0,441,79.17,5014860912,283536.2068
2216,48285,48,TX,Texas,285,Lavaca,10495,7904,75.31,2591,24.69,5973,75.57,1564,26.18,2507,41.97,689,11.54,749,12.54,329,5.51,135,2.26,1931,24.43,615,31.85,530,27.45,333,17.24,226,11.7,99,5.13,128,6.63,2179,27.57,3037,38.42,1022,12.93,975,12.34,428,5.41,263,3.33,1975,84,0.8,737,7.02,3082,29.37,6592,62.81,5,5.3,4,8262,78.72,60,0.57,275,2.62,77,0.73,159,1.52,1662,15.84,5973,5137,86,29,0.49,0,0,0,0,0,0,807,13.51,1931,1124,58.21,31,1.61,266,13.78,74,3.83,114,5.9,322,16.68,1371,22.95,1354,22.67,2133,35.71,1115,18.67,236,12.22,539,27.91,921,47.7,235,12.17,1156,59.87,1607,20.33,1893,23.95,3054,38.64,1350,17.08,38,1.97,23,60.53,15,39.47,0,0,0,0,0,0,290,15.02,64,22.07,22,7.59,137,47.24,22,7.59,45,15.52,895,46.35,50,5.59,23,2.57,615,68.72,98,10.95,109,12.18,708,36.66,19,2.68,15,2.12,215,30.37,139,19.63,320,45.2,358,18.54,329,17.04,256,13.26,235,12.17,175,9.06,11,0.57,55,2.85,26,1.35,3,0.16,9,0.47,474,24.55,617,35,0.59,127,2.13,1290,21.6,4521,75.69,38,1.97,290,15.02,895,46.35,708,36.66,171000,181200,165600,6401,1445,58,0,0,858,14.36,40,0.67,0,0,0,0,5075,84.97,587,30.4,18,0.93,0,0,0,0,1326,68.67,3322008185,228659.3706
2239,48211,48,TX,Texas,211,Hemphill,1744,1356,77.75,388,22.25,915,67.48,213,23.28,325,35.52,123,13.44,170,18.58,61,6.67,23,2.51,441,32.52,162,36.73,100,22.68,63,14.29,31,7.03,54,12.24,31,7.03,375,27.65,425,31.34,186,13.72,201,14.82,115,8.48,54,3.98,1989,2,0.11,31,1.78,503,28.84,1208,69.27,5.5,6.4,4.7,1219,69.9,42,2.41,122,7,54,3.1,13,0.75,294,16.86,915,743,81.2,0,0,15,1.64,0,0,0,0,157,17.16,441,197,44.67,42,9.52,59,13.38,54,12.24,13,2.95,76,17.23,134,14.64,226,24.7,344,37.6,211,23.06,174,39.46,108,24.49,72,16.33,87,19.73,159,36.05,308,22.71,334,24.63,416,30.68,298,21.98,0,0,0,0,0,0,0,0,0,0,0,0,22,4.99,0,0,0,0,22,100,0,0,0,0,174,39.46,27,15.52,0,0,76,43.68,61,35.06,10,5.75,245,55.56,2,0.82,3,1.22,93,37.96,62,25.31,85,34.69,82,18.59,49,11.11,24,5.44,80,18.14,39,8.84,0,0,17,3.85,0,0,55,12.47,0,0,95,21.54,754,2,0.22,9,0.98,193,21.09,711,77.7,0,0,22,4.99,174,39.46,245,55.56,180300,199600,166800,1063,291,0,2,0,163,17.81,0,0,2,0.22,0,0,750,81.97,128,29.02,0,0,0,0,0,0,313,70.98,3602408313,240202.4786
2240,48213,48,TX,Texas,213,Henderson,41502,31649,76.26,9853,23.74,24118,76.2,5501,22.81,10621,44.04,3813,15.81,2405,9.97,1132,4.69,646,2.68,7531,23.8,2387,31.7,1799,23.89,1514,20.1,752,9.99,690,9.16,389,5.17,7888,24.92,12420,39.24,5327,16.83,3157,9.98,1822,5.76,1035,3.27,1986,602,1.45,2765,6.66,11848,28.55,26287,63.34,5.4,5.6,4.4,26449,63.73,509,1.23,1013,2.44,1012,2.44,804,1.94,11715,28.23,24118,16809,69.69,153,0.63,86,0.36,10,0.04,29,0.12,7031,29.15,7531,2857,37.94,199,2.64,900,11.95,916,12.16,621,8.25,2038,27.06,7098,29.43,8333,34.55,7925,32.86,762,3.16,1929,25.61,2610,34.66,2684,35.64,308,4.09,2992,39.73,9027,28.52,10943,34.58,10609,33.52,1070,3.38,323,4.29,8,2.48,54,16.72,127,39.32,65,20.12,69,21.36,1181,15.68,199,16.85,150,12.7,688,58.26,73,6.18,71,6.01,2827,37.54,60,2.12,211,7.46,1921,67.95,276,9.76,359,12.7,3200,42.49,3,0.09,11,0.34,1354,42.31,1317,41.16,515,16.09,1891,25.11,1478,19.63,923,12.26,805,10.69,489,6.49,195,2.59,405,5.38,138,1.83,37,0.49,156,2.07,1014,13.46,592,87,0.36,899,3.73,6018,24.95,17114,70.96,323,4.29,1181,15.68,2827,37.54,3200,42.49,120700,156300,95000,23732,7240,611,66,0,4351,18.04,101,0.42,33,0.14,0,0,19633,81.4,2889,38.36,510,6.77,33,0.44,0,0,4099,54.43,3441478470,361757.1201
