INSPECTION_ID,PROPERTY_ID,PROPERTY_NAME,ADDRESS,CITY,CBSA_NAME,CBSA_CODE,COUNTY_NAME,COUNTY_CODE,STATE_NAME,STATE_CODE,ZIP,LATITUDE,LONGITUDE,LOCATION_QUALITY,INSPECTION_SCORE,INSPECTION_DATE
562709,800073842,HUNTER'S CREEK APARTMENTS,1100 River Bend Dr,Lancaster,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Dallas,113,TX,48,75146,32.603283,-96.780572,R,86,6/23/2016
564648,800020882,"FOREST DALE, INC.",11851 High Dale Dr,Dallas,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Dallas,113,TX,48,75234,32.910737,-96.860858,R,61,12/24/2015
564655,800020901,GATES,700 E Scott St,Gilmer,"Longview, TX Metropolitan Statistical Area",30980,Upshur,459,TX,48,75644,32.733474,-94.938018,R,68,1/5/2016
564667,800021276,Reagan West,6503 W Commerce St,San Antonio,"San Antonio-New Braunfels, TX Metropolitan Statistical Area",41700,Bexar,029,TX,48,78227,29.434245,-98.589395,R,88,12/15/2015
564677,800021228,Pete Dressen Housing,101 Post Road Cir,Kyle,"Austin-Round Rock, TX Metropolitan Statistical Area",12420,Hays,209,TX,48,78640,29.996633,-97.875765,R,89,12/8/2015
564683,800213235,CALDWELL HOUSE,1323 Caldwell St,Dallas,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Dallas,113,TX,48,75223,32.784798,-96.754026,R,62,1/6/2016
564818,800237618,Lakefront Villas,900 W Spring Valley Rd,Richardson,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Dallas,113,TX,48,75080,32.940251,-96.753475,R,90,11/2/2015
564826,800209936,SOUTH SIDE ON LAMAR,1409 S Lamar St,Dallas,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Dallas,113,TX,48,75215,32.76756,-96.795673,R,86,9/29/2015
564828,800021343,SILVER LAKE RETIREMENT COMMUNITY,801 Main St,Sealy,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",26420,Austin,015,TX,48,77474,29.779807,-96.164333,R,90,10/28/2015
564869,800021566,200 Oblate Inc. Murray Manor,7550 S Sea Ln,San Antonio,"San Antonio-New Braunfels, TX Metropolitan Statistical Area",41700,Bexar,029,TX,48,78216,29.503267,-98.505481,R,82,12/9/2015
567085,800224996,NOTRE DAME COURT,801 S Madison Ave,Dallas,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Dallas,113,TX,48,75208,32.73798,-96.826666,R,91,2/23/2016
567086,800211820,COMMUNITY OPTIONS LEWISVILLE,232 Teakwood Ln,Lewisville,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Denton,121,TX,48,75067,33.012661,-96.997303,R,44,2/2/2016
567087,800021020,LAKELAND MANOR,3105 Peavy Rd,Dallas,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Dallas,113,TX,48,75228,32.807831,-96.685593,R,85,3/1/2016
