STATE,COUNTY,RISK_VALUE,RISK_SCORE,RISK_RATNG,SOVI_SCORE,SOVI_RATNG,RESL_SCORE,RESL_RATNG,RESL_SPCTL,RESL_VALUE,CRF_VALUE
Texas,Houston,5520941.45,45.52974865,Very Low,94.65000153,Very High,10.43999958,Very Low,0.2637795276,2.420655012,1.411840612
Texas,Howard,12117671.36,70.41043589,Relatively Low,90.95999908,Very High,15.52999973,Very Low,0.3543307087,2.450721025,1.31964869
Texas,Hudspeth,1218802.351,6.681514477,Very Low,99.97000122,Very High,0,Very Low,0.003937007874,1.810037017,1.994027257
Texas,Hunt,28761410.88,85.93700286,Relatively Moderate,88.41999817,Very High,39.72000122,Relatively Low,0.7204724409,2.55668807,1.372750151
Texas,Hutchinson,13778220.72,72.86032453,Relatively Low,45,Relatively Moderate,45.29000092,Relatively Moderate,0.8031496063,2.578128099,1.244402438
Texas,Irion,2070771.593,14.63569838,Very Low,37.45999908,Relatively Low,18.64999962,Very Low,0.4015748031,2.465962887,1.120861173
Texas,Jack,3170428.659,25.54883869,Very Low,81.66999817,Very High,12.25,Very Low,0.3031496063,2.433373928,1.340526391
Texas,Jackson,35453076.29,88.03690741,Relatively Moderate,76.44999695,Relatively High,38.02999878,Relatively Low,0.7047244094,2.550231934,1.405231861
Texas,Jasper,17061731.75,76.74196627,Relatively Low,94.23999786,Very High,17.72999954,Very Low,0.3779527559,2.462285995,1.436210661
Texas,Jeff Davis,2543097.009,18.77187401,Very Low,60.43999863,Relatively High,14.06999969,Very Low,0.3385826772,2.443684101,1.326329827
Texas,Jefferson,214980067.8,97.74101177,Relatively High,95.54000092,Very High,68.01000214,Relatively High,0.9566929134,2.666325092,1.33024067
Texas,Jim Hogg,940585.3906,4.645243398,Very Low,96.79000092,Very High,1.909999967,Very Low,0.07086614173,2.30654192,1.887621487
Texas,Jim Wells,30879147.84,86.63697105,Relatively Moderate,86.27999878,Very High,20.43000031,Relatively Low,0.4291338583,2.475547075,1.444647562
Texas,Johnson,45543493.94,90.10499523,Relatively Moderate,61.08000183,Relatively High,41.79000092,Relatively Moderate,0.7480314961,2.563770056,1.17369876
Texas,Jones,5852315.812,47.50238626,Very Low,63.61999893,Relatively High,44.68000031,Relatively Moderate,0.7834645669,2.575165987,1.300302223
Texas,Karnes,10338613.63,65.22430799,Relatively Low,84.69000244,Very High,35.58000183,Relatively Low,0.6535433071,2.539784908,1.324716408
Texas,Kaufman,17077323.28,76.83741648,Relatively Low,70.08000183,Relatively High,50.72999954,Relatively Moderate,0.8622047244,2.600543022,1.196787838
Texas,Kendall,9798862.072,63.79255488,Relatively Low,22.44000053,Relatively Low,72.41000366,Relatively High,0.968503937,2.682120085,1.081237766
Texas,Kenedy,1319212.046,7.349665924,Very Low,66.48999786,Relatively High,0.4099999964,Very Low,0.02362204724,2.167336941,1.688010454
Texas,Kent,654173.4668,2.640789055,Very Low,17.30999947,Very Low,33.74000168,Relatively Low,0.6299212598,2.533128977,1.015855074
Texas,Kerr,10944077.42,67.22876233,Relatively Low,78.41999817,Relatively High,34.68999863,Relatively Low,0.6338582677,2.536500931,1.342804969
Texas,Kimble,5588225.981,46.03881642,Very Low,62.70000076,Relatively High,21.29000092,Relatively Low,0.4409448819,2.480355024,1.192402303
Texas,King,319471.5305,0.7636016545,Very Low,32.15000153,Relatively Low,4.139999866,Very Low,0.1338582677,2.356554031,1.121561408
Texas,Kinney,445404.3157,1.559020045,Very Low,71.31999969,Relatively High,1.049999952,Very Low,0.03937007874,2.264512062,1.540501714
Texas,Kleberg,27849260.18,85.65065224,Relatively Moderate,98.76000214,Very High,41.47000122,Relatively Moderate,0.7440944882,2.562608957,1.468875043
Texas,Knox,2561598.44,19.15367483,Very Low,73.38999939,Relatively High,29.19000053,Relatively Low,0.5472440945,2.514029026,1.479324098
Texas,Lamar,23114118.05,82.34171174,Relatively Low,85.23000336,Very High,37.00999832,Relatively Low,0.6850393701,2.545721054,1.344788345
Texas,Lamb,10166491.98,64.81069042,Relatively Low,88.48000336,Very High,29.72999954,Relatively Low,0.5590551181,2.515871048,1.562080449
Texas,Lampasas,4066483.319,34.45752466,Very Low,70.01999664,Relatively High,41.91999817,Relatively Moderate,0.7519685039,2.564182043,1.205359445
Texas,La Salle,1649671.937,10.40407254,Very Low,86.79000092,Very High,3.599999905,Very Low,0.1181102362,2.347999096,1.471834569
Texas,Lavaca,13690815.06,72.66942412,Relatively Low,58.11999893,Relatively Moderate,64.31999969,Relatively High,0.9488188976,2.65301609,1.252165233
Texas,Lee,4610123.445,38.94368438,Very Low,70.30999756,Relatively High,40.66999817,Relatively Moderate,0.7362204724,2.559740067,1.293983671
Texas,Leon,4081519.214,34.64842507,Very Low,72.94999695,Relatively High,10.27999973,Very Low,0.2598425197,2.419471979,1.337710019
Texas,Liberty,54133007.01,91.63219854,Relatively Moderate,97.87000275,Very High,25.53000069,Relatively Low,0.4921259843,2.498949051,1.508936038
Texas,Limestone,4784604.727,40.47088769,Very Low,94.13999939,Very High,13.43000031,Very Low,0.3267716535,2.43909502,1.516517755
Texas,Lipscomb,3900482.541,32.96213808,Very Low,65.05000305,Relatively High,4.739999771,Very Low,0.1535433071,2.367386103,1.489910028
Texas,Live Oak,3944007.619,33.28030544,Very Low,79.94999695,Relatively High,4.809999943,Very Low,0.157480315,2.367732048,1.392638098
Texas,Llano,11428378.76,68.56506522,Relatively Low,66.51999664,Relatively High,19.92000008,Very Low,0.4133858268,2.47290206,1.168007734
Texas,Loving,35741.26592,0.0318167356,Very Low,13.34000015,Very Low,0.349999994,Very Low,0.01968503937,2.140418053,0.9210190177
Texas,Lubbock,114866115,95.73655743,Relatively High,82.69000244,Very High,65.94999695,Relatively High,0.9527559055,2.659410954,1.168854949
Texas,Lynn,4784343.15,40.43907095,Very Low,83.44999695,Very High,26.45000076,Relatively Low,0.5039370079,2.502142906,1.388209235
