source,sumlevel,geoid,name,st,cnty,T9_est1,T9_est2,T9_est3,T9_est4,T9_est5,T9_est6,T9_est7,T9_est8,T9_est9,T9_est10,T9_est11,T9_est12,T9_est13,T9_est14,T9_est15,T9_est16,T9_est17,T9_est18,T9_est19,T9_est20,T9_est21,T9_est22,T9_est23,T9_est24,T9_est25,T9_est26,T9_est27,T9_est28,T9_est29,T9_est30,T9_est31,T9_est32,T9_est33,T9_est34,T9_est35,T9_est36,T9_est37,T9_est38,T9_est39,T9_est40,T9_est41,T9_est42,T9_est43,T9_est44,T9_est45,T9_est46,T9_est47,T9_est48,T9_est49,T9_est50,T9_est51,T9_est52,T9_est53,T9_est54,T9_est55,T9_est56,T9_est57,T9_est58,T9_est59,T9_est60,T9_est61,T9_est62,T9_est63,T9_est64,T9_est65,T9_est66,T9_est67,T9_est68,T9_est69,T9_est70,T9_est71,T9_est72,T9_est73,T9_moe1,T9_moe2,T9_moe3,T9_moe4,T9_moe5,T9_moe6,T9_moe7,T9_moe8,T9_moe9,T9_moe10,T9_moe11,T9_moe12,T9_moe13,T9_moe14,T9_moe15,T9_moe16,T9_moe17,T9_moe18,T9_moe19,T9_moe20,T9_moe21,T9_moe22,T9_moe23,T9_moe24,T9_moe25,T9_moe26,T9_moe27,T9_moe28,T9_moe29,T9_moe30,T9_moe31,T9_moe32,T9_moe33,T9_moe34,T9_moe35,T9_moe36,T9_moe37,T9_moe38,T9_moe39,T9_moe40,T9_moe41,T9_moe42,T9_moe43,T9_moe44,T9_moe45,T9_moe46,T9_moe47,T9_moe48,T9_moe49,T9_moe50,T9_moe51,T9_moe52,T9_moe53,T9_moe54,T9_moe55,T9_moe56,T9_moe57,T9_moe58,T9_moe59,T9_moe60,T9_moe61,T9_moe62,T9_moe63,T9_moe64,T9_moe65,T9_moe66,T9_moe67,T9_moe68,T9_moe69,T9_moe70,T9_moe71,T9_moe72,T9_moe73
2013thru2017,50,05000US48399,"Runnels County, Texas",48,399,3780,2715,2015,1690,195,110,20,15,15,0,0,0,25,25,0,0,0,15,0,0,15,0,0,0,0,0,0,605,540,40,20,4,40,25,15,0,0,1065,715,470,140,95,4,40,10,20,0,10,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,285,240,4,40,0,4,4,0,0,0,171,171,152,134,65,61,29,16,16,21,21,21,22,22,21,21,21,19,21,21,19,21,21,21,21,21,21,87,78,29,20,14,38,32,19,21,21,164,112,91,69,57,12,44,21,31,21,16,21,21,21,21,21,33,21,21,33,21,21,21,21,21,21,97,95,21,32,21,12,12,21,21,21
2013thru2017,50,05000US48401,"Rusk County, Texas",48,401,17980,13675,10360,9020,700,540,95,1760,1440,180,125,15,35,20,15,0,0,15,4,0,10,0,0,0,0,0,0,1305,980,140,185,4,200,115,10,65,10,4305,2475,1640,390,390,60,1380,795,220,320,45,15,15,0,0,0,4,0,4,0,0,0,0,0,0,0,380,270,105,10,0,45,30,0,4,4,343,320,252,303,128,157,47,160,147,89,57,16,23,19,27,31,31,22,6,31,21,31,31,31,31,31,31,212,205,72,98,7,64,47,16,46,16,329,267,222,139,131,63,196,166,115,122,42,28,28,31,31,31,11,31,11,31,31,31,31,31,31,31,113,90,74,12,31,42,38,31,13,13
2013thru2017,50,05000US48403,"Sabine County, Texas",48,403,3810,3355,3065,2595,195,270,4,205,115,4,4,75,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,30,15,20,0,0,45,35,4,4,0,460,355,205,55,90,4,100,10,20,65,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,277,255,228,86,96,5,81,73,14,21,88,7,7,21,21,21,21,21,21,21,21,21,21,21,21,21,35,21,31,21,21,50,54,7,10,21,148,130,92,36,66,7,66,12,21,56,11,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
2013thru2017,50,05000US48405,"San Augustine County, Texas",48,405,3200,2535,1870,1650,50,135,40,555,390,65,55,45,0,0,0,0,0,15,0,0,15,0,0,0,0,0,0,85,65,0,15,0,15,0,15,0,0,665,360,295,25,35,10,195,80,20,85,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,90,0,0,20,0,0,0,0,0,209,190,169,179,36,74,48,87,93,44,37,41,19,19,19,19,19,23,19,19,23,19,19,19,19,19,19,53,48,19,27,19,24,19,24,19,19,158,125,118,20,34,17,84,43,27,61,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,51,43,19,19,34,19,19,19,19,19
2013thru2017,50,05000US48407,"San Jacinto County, Texas",48,407,9415,7810,6200,5090,645,435,35,970,650,90,230,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,620,455,125,10,25,20,20,0,0,0,1600,1110,600,345,140,25,240,120,70,45,0,0,0,0,0,0,45,45,0,0,0,0,0,0,0,0,190,80,10,100,0,20,15,4,0,0,454,460,417,404,175,167,37,182,170,60,110,25,25,25,25,25,25,14,14,25,25,25,25,25,25,25,25,178,139,114,17,47,37,37,25,25,25,312,250,180,178,95,31,108,66,66,42,25,25,25,25,25,25,68,68,25,25,25,25,25,25,25,25,145,86,17,105,25,26,24,10,25,25
2013thru2017,50,05000US48409,"San Patricio County, Texas",48,409,23245,15545,7910,6475,885,510,40,155,120,35,0,0,120,85,20,15,0,25,0,10,15,0,0,0,0,0,0,7240,5920,875,420,30,100,70,10,15,0,7700,2680,1615,670,310,85,250,135,40,70,0,60,60,0,0,0,45,0,0,0,45,0,0,0,0,0,4655,2885,945,775,50,15,15,0,0,0,480,507,354,343,173,117,31,62,53,36,31,31,44,43,25,19,31,29,31,14,28,31,31,31,31,31,31,390,387,181,109,24,71,58,16,30,31,515,286,245,162,100,79,103,76,42,67,31,37,37,31,31,31,71,31,31,31,71,31,31,31,31,31,419,360,222,197,39,18,18,31,31,31
2013thru2017,50,05000US48411,"San Saba County, Texas",48,411,2135,1440,1200,915,115,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,145,65,10,0,15,4,10,0,0,695,475,405,25,40,4,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,205,115,45,50,0,15,0,15,0,0,135,123,114,115,43,80,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,61,47,36,17,19,27,17,20,19,19,108,98,95,27,28,11,19,19,19,19,19,6,6,19,19,19,19,19,19,19,19,19,19,19,19,19,65,56,41,41,19,24,19,24,19,19
2013thru2017,50,05000US48413,"Schleicher County, Texas",48,413,1100,845,430,350,50,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,355,40,20,0,4,4,0,0,0,255,145,100,35,15,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,85,15,0,0,0,0,0,0,0,100,118,76,68,34,22,15,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,70,71,29,20,13,3,3,13,13,13,78,56,44,33,22,13,15,13,15,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,53,51,18,13,13,13,13,13,13,13
2013thru2017,50,05000US48415,"Scurry County, Texas",48,415,5840,4325,2765,2350,320,85,15,130,110,20,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,1405,1135,190,75,0,25,25,0,0,0,1510,795,610,130,60,0,85,85,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,605,415,135,55,0,20,0,0,20,0,252,215,207,194,124,54,16,66,65,39,21,21,21,21,21,21,21,4,4,21,21,21,21,21,21,21,21,184,191,119,59,21,28,28,21,21,21,263,172,149,76,57,21,90,90,21,21,21,21,21,21,21,21,9,9,21,21,21,21,21,21,21,21,171,146,87,49,21,40,21,21,40,21
2013thru2017,50,05000US48417,"Shackelford County, Texas",48,417,1255,990,925,770,70,85,4,0,0,0,0,0,4,4,0,0,0,4,4,0,0,0,0,0,0,0,0,60,60,0,0,0,4,0,0,4,0,265,225,155,20,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,30,10,0,0,4,0,4,0,0,106,88,79,85,32,49,2,13,13,13,13,13,1,1,13,13,13,1,1,13,13,13,13,13,13,13,13,39,39,13,13,13,5,13,13,5,13,75,65,56,20,34,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,28,23,16,13,13,7,13,7,13,13
